p_mc_pur_AG,p_mc_pir_CU,p_n_pur_AG,p_n_pir_CU,c4_mc_pur_AG,c4_mc_pir_CU,c4_n_pur_AG,c4_n_pir_CU,c4_cg_pur,c4_cu_pir,p_cg_pur,p_cu_pir,c4_c4,
4.9167871671,5.33364346171,4.9167871671,4.84869492017,3.27211443211,4.7341091391,3.27211443211,3.26322923496,3.5468815583,3.32461752611,3.91639579006,3.68053021093,6.10414327452,
4.61632523764,6.00206893365,4.61632523764,5.26715516621,3.13921485609,4.91072026981,3.13921485609,3.39314676478,3.37939250721,3.57605941653,3.56574726679,4.26592389465,5.84665559868,
5.10925368184,6.69786386321,5.10925368184,5.72108352028,3.41387405932,5.02610313705,3.41387405932,3.47472904846,3.82238692426,3.80035671885,4.36934714358,4.95872618984,24.8272478844,
6.16212369693,6.35726354362,6.16212369693,5.78775301036,3.30523393774,4.55984158604,3.30523393774,3.16593127617,3.63539358709,3.37554101157,6.16611449681,5.24931002657,6.32372022119,
4.60704619107,5.63964747727,4.60704619107,4.74869251297,3.27566948209,4.67355364569,3.27566948209,3.2421989118,3.54183620675,3.4030210826,3.5509038006,3.89134987353,9.28885921496,
5.62897431604,6.38788235793,5.62897431604,5.3300899368,3.49820837317,5.10447438746,3.49820837317,3.55279765398,3.99098095592,4.00147821254,5.02570131661,5.10849744712,6.18446772114,
4.9643359117,22.9248144052,4.9643359117,23.2471802057,3.27922083072,4.81929700501,3.27922083072,3.33583690232,3.55111335518,3.48178730674,3.97613100484,3.96698117397,4.28850325857,
5.64137054179,6.82220641864,5.64137054179,5.66903031219,3.22445803327,4.88690714682,3.22445803327,3.38299021062,3.58799117919,3.54085656131,5.43574998466,4.13488027468,5.74559107246,
4.60507655985,7.17413870749,4.60507655985,5.82890948752,3.2702795748,5.08393084469,3.2702795748,3.53972018861,3.58063447014,3.85293529566,3.59131896597,3.37290410508,6.2249722149,
4.89541968908,6.4067624063,4.89541968908,5.47013277762,3.25459215536,4.95911558654,3.25459215536,3.43220165082,3.53231311912,3.62811594774,3.90112364495,4.54593518075,6.24670395618,
5.03035377396,6.84124093574,5.03035377396,5.70316615953,3.28483139282,4.83842403497,3.28483139282,3.34889335238,3.6102311739,3.49096907184,4.10509267419,4.06356073559,5.35075679408,
5.37445570384,15.1688896353,5.37445570384,14.0027503995,3.30701429072,5.02494510316,3.30701429072,3.47962178352,3.60831703037,3.84351505701,4.25323452815,4.30131313787,5.79725223611,
4.4654170786,5.65977995996,4.4654170786,5.04941356823,3.29547609245,4.95685525825,3.29547609245,3.45944302077,3.58676924351,3.68814462592,4.23782300346,5.73018095746,6.11545365798,
5.69707438416,5.85332506838,5.69707438416,5.10357753701,3.43788164428,4.58958959036,3.43788164428,3.15552483646,3.80408973541,3.35900745475,4.91443299495,4.08970579756,6.29576522511,
5.48035654741,4.80228321239,5.48035654741,4.06187761991,3.44008628158,4.84779626074,3.44008628158,3.3467228085,3.80364339799,3.47113457166,4.80556967836,4.24322043995,5.70409025167,
