p_mc_pur_AG,p_mc_pir_CU,p_n_pur_AG,p_n_pir_CU,
4.9167871671,5.33364346171,4.9167871671,4.84869492017,
4.61632523764,6.00206893365,4.61632523764,5.26715516621,
5.10925368184,6.09491378614,5.10925368184,5.34279857013,
6.16212369693,5.26328225937,6.16212369693,4.61480717703,
4.60704619107,5.29276328702,4.60704619107,4.49091918413,
5.62897431604,5.92289114241,5.62897431604,5.24235116919,
4.9643359117,6.69786386321,4.9643359117,5.72108352028,
5.64137054179,5.27483167482,5.64137054179,4.41656796984,
4.60507655985,6.35726354362,4.60507655985,5.78775301036,
4.89541968908,5.63964747727,4.89541968908,4.74869251297,
5.03035377396,5.42426911713,5.03035377396,4.89178429072,
4.98084628183,5.45244107879,4.98084628183,4.88289253348,
5.14873492605,6.31992259817,5.14873492605,5.46093474662,
5.62751863843,6.33095033402,5.62751863843,5.47108189413,
5.55513884844,7.91696778647,5.55513884844,6.59649842684,
4.86347802291,6.08126040862,4.86347802291,5.38168007615,
5.54572680158,5.96394152304,5.54572680158,5.2550372624,
5.31572070729,6.84124093574,5.31572070729,5.70316615953,
5.06735266673,7.69649758295,5.06735266673,6.43521324069,
5.24680302691,6.42954767531,5.24680302691,5.54654979694,
5.2351958213,5.94197339963,5.2351958213,5.17342239113,
5.00480962817,6.50194217319,5.00480962817,5.58400859601,
5.88556681472,5.78654611224,5.88556681472,5.16566644845,
5.14141579841,7.07473741281,5.14141579841,5.78141615927,
5.68501151656,5.87232420484,5.68501151656,5.2371902182,
5.43521347433,5.65977995996,5.43521347433,5.04941356823,
5.70613792295,6.37874209617,5.70613792295,5.55768601138,
5.25885387005,5.85332506838,5.25885387005,5.10357753701,
5.02529404489,4.80228321239,5.02529404489,4.06187761991,
4.90439133077,6.08844104517,4.90439133077,5.28387780456,
5.73221232236,6.03693210446,5.73221232236,5.23585023637,
5.75952127058,6.1147188652,5.75952127058,5.3856952911,
5.34686633812,6.27892931882,5.34686633812,5.46252149091,
5.63771690609,6.28688052726,5.63771690609,5.46963793935,
5.9071545857,5.78527939159,5.9071545857,5.10222076331,
4.44683568872,6.3208313813,4.44683568872,5.50277517433,
5.43572926109,6.42433566948,5.43572926109,5.56495315429,
5.43547530208,6.73480093072,5.43547530208,5.61526297107,
5.77073714066,6.28404276813,5.77073714066,5.39333151851,
5.22197520074,5.98443637276,5.22197520074,5.11955833625,
5.64475332554,7.11085288179,5.64475332554,6.12364106488,
5.27179051632,5.48742642773,5.27179051632,4.97373275007,
5.53554749564,6.40457903812,5.53554749564,5.65439921345,
5.07754410572,6.98255585833,5.07754410572,5.9768888547,
6.26609042351,5.96535959369,6.26609042351,5.04888643297,
5.75198327901,7.00332279684,5.75198327901,6.01551719315,
4.81145822534,5.96297889689,4.81145822534,5.29338565278,
5.67085444079,5.23913225733,5.67085444079,4.56291007412,
4.49185235593,6.05827950594,4.49185235593,5.14937817681,
5.97220295913,5.86509238879,5.97220295913,5.22636935289,
4.87638581923,7.07986143785,4.87638581923,6.07375738461,
4.21182364388,6.0216686901,4.21182364388,5.3167595569,
4.99385856209,5.55938124523,4.99385856209,4.95825545588,
6.18024368113,6.14370465098,6.18024368113,5.39386627719,
4.88786493701,5.48582414296,4.88786493701,4.97865444234,
5.25845252002,6.04378592553,5.25845252002,5.28483263542,
5.73554845823,5.44883443036,5.73554845823,4.74252248394,
5.03452809964,6.51690001074,5.03452809964,5.54627431069,
5.06111840606,6.11013241336,5.06111840606,5.33082609063,
4.91083400589,6.02499265347,4.91083400589,5.31434001602,
4.94547101864,6.1577499347,4.94547101864,5.40144060914,
5.92882074049,6.04208295454,5.92882074049,5.33258213089,
5.35305760862,6.14463328612,5.35305760862,5.39841538047,
5.49765513117,6.05101500579,5.49765513117,5.32226029131,
5.5074053105,5.81299820857,5.5074053105,5.176502117,
5.42817879724,5.91960476947,5.42817879724,5.21366737589,
5.49033941367,5.87503670292,5.49033941367,5.21309902079,
5.46258052302,6.43260091671,5.46258052302,5.252096562,
5.34577257719,7.20632156095,5.34577257719,5.81057584053,
5.42117020045,5.96363298278,5.42117020045,5.24441929524,
4.81505070783,5.99631869446,4.81505070783,5.25564293288,
5.07695426785,5.73600589163,5.07695426785,5.08969692785,
5.42787954028,5.8949597745,5.42787954028,5.23595032136,
4.93169844072,7.22483720469,4.93169844072,6.10848459925,
5.20389472613,7.53829951318,5.20389472613,6.34668230358,
5.28990062842,6.79864873758,5.28990062842,5.74076436284,
5.38242228253,6.51215997198,5.38242228253,5.46658625009,
4.87144607619,6.67190120885,4.87144607619,5.87919305198,
4.7873202677,7.40405962944,4.7873202677,6.41099631749,
4.90420591306,6.33053553006,4.90420591306,5.51335761271,
4.86619519338,7.02506257949,4.86619519338,5.90177512083,
4.92449207637,6.57900448943,4.92449207637,5.64854274225,
4.96022270107,6.11160486236,4.96022270107,5.43269377262,
5.1642716026,7.04759531345,5.1642716026,6.00517731016,
6.07599600659,6.02409453537,6.07599600659,5.10351746141,
5.91742410682,5.24735293799,5.91742410682,4.62834885999,
6.20212265953,6.34799649082,6.20212265953,5.5019495642,
5.20070617823,6.08333129791,5.20070617823,5.33136954373,
5.89055082834,6.23653723229,5.89055082834,5.42446226934,
5.47297521777,6.59629676402,5.47297521777,5.70871769222,
5.31132784732,6.14863903463,5.31132784732,5.31006986875,
6.07489472467,6.0553760469,6.07489472467,5.35156042625,
6.72732974195,6.83836733801,6.72732974195,5.83822528912,
5.28442055336,6.33817299981,5.28442055336,5.48476716657,
4.71690641327,6.04296247405,4.71690641327,5.0421180906,
6.19884405053,7.2546303177,6.19884405053,6.04889717546,
